Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Centro poblado;415;1;1;412;1;0;0;0;0;0
05_Antioquia;;Rural disperso;4.646;176;24;4.364;75;0;0;0;0;7
05_Antioquia;05576_Pueblorrico;Total;7.202;111;4;3.300;3.287;495;5;0;0;0
05_Antioquia;;Cabecera;3.807;36;4;1.116;2.191;455;5;0;0;0
05_Antioquia;;Rural disperso;3.395;75;0;2.184;1.096;40;0;0;0;0
05_Antioquia;05579_Puerto Berrío;Total;35.791;330;23;26.085;7.852;1.391;46;18;5;41
05_Antioquia;;Cabecera;31.000;145;19;22.083;7.537;1.129;39;12;4;32
05_Antioquia;;Centro poblado;2.090;45;0;1.986;54;5;0;0;0;0
05_Antioquia;;Rural disperso;2.701;140;4;2.016;261;257;7;6;1;9
05_Antioquia;05585_Puerto Nare;Total;12.127;133;27;5.855;5.725;383;0;0;1;3
05_Antioquia;;Cabecera;3.860;14;0;1.026;2.574;244;0;0;0;2
05_Antioquia;;Centro poblado;6.000;47;5;3.103;2.730;115;0;0;0;0
05_Antioquia;;Rural disperso;2.267;72;22;1.726;421;24;0;0;1;1
05_Antioquia;05591_Puerto Triunfo;Total;15.490;185;37;6.775;8.043;312;77;35;3;23
05_Antioquia;;Cabecera;2.852;3;9;562;2.255;14;1;3;0;5
05_Antioquia;;Centro poblado;10.385;72;22;4.849;5.350;62;4;10;0;16
